product,day,cellcount,viability,sg,plato,pH,alcohol,date
ME Hard Seltzer HG,0,8400000,,1.09877,23.48496271,,0,
ME Hard Seltzer HG,1,6450000,0.79,1.09827,23.3761805,6.11,0.0076,
ME Hard Seltzer HG,2,10900000,0.93,1.06598,16.13360598,4.67,0.035,
ME Hard Seltzer HG,3,15500000,0.93,1.04458,11.0976973,4.11,0.072,
ME Hard Seltzer HG,4,12100000,0.91,1.02654,6.706369445,4.03,0.0975,
ME Hard Seltzer HG,7,16300000,0.94,0.99188,-2.105710551,4.07,0.148,
ME Hard Seltzer HG,8,26200000,0.97,0.98818,-3.075556842,4.13,0.1517,
ME Hard Seltzer HG,9,12500000,0.91,0.98657,-3.499326571,4.21,0.1553,
ME Hard Seltzer HG,0,8400000,,1.09877,23.48496271,,0,
ME Hard Seltzer HG,1,4660000,0.7659,1.09807,23.33263886,6.06,0.0075,
ME Hard Seltzer HG,2,7840000,0.9062,1.06481,15.86313864,4.62,0.0335,
ME Hard Seltzer HG,3,207000,0.9952,1.04668,11.60019797,4.03,0.0684,
ME Hard Seltzer HG,4,13600000,0.9138,1.03005,7.571252446,3.95,0.0935,
ME Hard Seltzer HG,7,11500000,0.9269,0.99429,-1.477023614,3.97,0.1438,
ME Hard Seltzer HG,8,23700000,0.9699,0.98978,-2.655473886,4.03,0.1465,
ME Hard Seltzer HG,9,15600000,0.9157,0.98687,-3.420282566,4.12,0.1544,
ME Hard Seltzer HG,0,8400000,,1.09877,23.48496271,,0,
ME Hard Seltzer HG,1,6680000,0.8129,1.09807,23.33263886,6.07,0.0082,
ME Hard Seltzer HG,2,10400000,0.8791,1.03696,9.259128416,4.69,0.0373,
ME Hard Seltzer HG,3,17100000,0.9456,1.04157,10.37428788,4.15,0.0767,
ME Hard Seltzer HG,4,15900000,0.9487,1.02324,5.888616818,4.11,0.1031,
ME Hard Seltzer HG,7,12100000,0.9546,0.98998,-2.603037441,4.15,0.1508,
ME Hard Seltzer HG,8,28500000,0.9769,0.98747,-3.262305444,4.21,0.1506,
ME Hard Seltzer HG,9,15900000,0.9411,0.98677,-3.446626461,4.29,0.1549,
ME Hard Seltzer HG,0,8400000,,1.09877,23.48496271,,0,
ME Hard Seltzer HG,1,5900000,0.808,1.09757,23.22371291,6.03,0.0083,
ME Hard Seltzer HG,2,8190000,0.9235,1.07403,17.97927268,4.61,0.0354,
ME Hard Seltzer HG,3,19700000,0.9284,1.04588,11.4089827,4.07,0.0696,
ME Hard Seltzer HG,4,12400000,0.9254,1.02995,7.546681928,4,0.0943,
ME Hard Seltzer HG,7,13100000,0.9436,0.99449,-1.424957615,4.01,0.1443,
ME Hard Seltzer HG,8,16700000,0.9533,0.98998,-2.603037441,4.06,0.1483,
ME Hard Seltzer HG,9,11300000,0.9198,0.98697,-3.393942778,4.17,0.1544,
ME Hard Seltzer HG,0,8400000,,1.09877,23.48496271,,0,
ME Hard Seltzer HG,1,6200000,0.8046,1.09777,23.26729561,6.04,0.0081,
ME Hard Seltzer HG,2,9540000,0.9287,1.04257,10.61503598,4.56,0.0358,
ME Hard Seltzer HG,3,13900000,0.9288,1.04498,11.19355135,4.01,0.0693,
ME Hard Seltzer HG,4,15500000,0.936,1.02895,7.300750866,3.93,0.0722,
ME Hard Seltzer HG,7,11600000,0.9451,0.99389,-1.581204895,3.98,0.1432,
ME Hard Seltzer HG,8,11300000,0.939,0.98928,-2.786636869,3.99,0.1484,
ME Hard Seltzer HG,9,10500000,0.9095,0.98677,-3.446626461,4.12,0.155,
ME Hard Seltzer HG,0,8400000,,1.09877,23.48496271,,0,
ME Hard Seltzer HG,1,6130000,0.819,1.09787,23.2890808,6.04,0.0084,
ME Hard Seltzer HG,2,9370000,0.9325,1.03035,7.644939358,4.61,0.0351,
ME Hard Seltzer HG,3,21900000,0.9541,1.04658,11.57631043,4.04,0.0685,
ME Hard Seltzer HG,4,34200,0.9942,1.03035,7.644939358,4.01,0.0926,
ME Hard Seltzer HG,7,14100000,0.9547,0.99509,-1.268858186,4.04,0.1409,
ME Hard Seltzer HG,8,6750000,0.9771,0.99028,-2.524413576,4.02,0.1482,
ME Hard Seltzer HG,9,14700000,0.9313,0.98707,-3.367607098,4.13,0.1547,
A,0,,,1.10158,24.0944088,7.25,0,2022-04-04
B,0,,,1.10158,24.0944088,7.68,0,2022-04-04
C,0,,,1.10158,24.0944088,5.62,0,2022-04-04
Hybrid,0,,,1.10158,24.0944088,6.95,0,2022-04-04
